variable	cluster	n_vertices	mean_thickness	mean_coefficient	mean_se	top_region1	top_region2	top_region3
(Intercept)	1	146636	2.47189721733702	2.51846914502719	0.0900280499160556	superiorfrontal (8.31%, 100.00%)	precentral (7.32%, 99.99%)	superiorparietal (7.13%, 99.95%)
sex	1	3735	2.51122352662162	-0.0740402239752582	0.0154160061728962	parsopercularis (32.50%, 38.92%)	precentral (21.55%, 7.50%)	parstriangularis (17.22%, 31.43%)
sex	2	1424	2.51329785102241	-0.0819555310260379	0.0167594514349005	superiorfrontal (66.5%, 7.78%)	rostralanteriorcingulate (21.0%, 22.15%)	medialorbitofrontal (12.5%, 6.71%)
sex	3	2002	2.49490853296346	0.102177723700722	0.0185627944820507	postcentral (100%, 21.03%)	NA	NA
sex	4	1172	2.54825034725701	-0.102319431071624	0.0231338312528366	inferiortemporal (61.09%, 16.22%)	middletemporal (26.19%, 6.90%)	fusiform (12.71%, 3.16%)
sex	5	822	2.41724170665095	-0.0600339738910433	0.0136162138446585	rostralmiddlefrontal (100%, 11.35%)	NA	NA
sex	6	762	2.42787434741296	-0.0584980502890868	0.0132247038439816	rostralmiddlefrontal (74.93%, 7.88%)	parsopercularis (12.99%, 3.17%)	parstriangularis (12.07%, 4.50%)
sex	7	747	2.45052489471851	0.0903099388921436	0.0194395355396521	inferiorparietal (100%, 9.49%)	NA	NA
sex	8	725	2.55317085695139	0.109748844576293	0.0252381389819343	precentral (100%, 6.75%)	NA	NA
sex	9	746	2.41880412750602	-0.099638484867824	0.0217914141255154	isthmuscingulate (52.55%, 15.49%)	lingual (34.18%, 6.06%)	precuneus (13.27%, 1.35%)
sex	10	613	2.5141203852128	-0.147380336304765	0.032016995981287	temporalpole (78.14%, 57.09%)	insula (15.01%, 1.76%)	entorhinal (4.57%, 2.54%)
sex	11	645	2.45285967355144	-0.0625152231995449	0.0152908236019371	superiortemporal (45.58%, 4.04%)	middletemporal (28.84%, 4.18%)	bankssts (25.58%, 7.72%)
sex	12	679	2.43536420049918	-0.070082051918152	0.0160386729573993	lateralorbitofrontal (76.88%, 12.46%)	insula (21.94%, 2.85%)	parstriangularis (1.18%, 0.39%)
sex	13	717	2.42223305414326	-0.074234860306255	0.0155830098318671	posteriorcingulate (100%, 21.95%)	NA	NA
sex	14	573	2.40311851840823	-0.0807057387645748	0.016461357747385	medialorbitofrontal (79.23%, 17.11%)	lateralorbitofrontal (20.77%, 2.84%)	NA
sex	15	278	2.37592909732045	0.0624536792714176	0.0156896929558125	lateraloccipital (100%, 4.36%)	NA	NA
sex	16	415	2.49468704941191	0.0705820757940591	0.018754805891539	superiorparietal (100%, 3.97%)	NA	NA
